MLA,EWAQ_Capital,XX_MLA,01_CURR_ACC,EWAQ_GrossLoans,02_TIME_DEPOSIT,XX_TOTAL_LIQUID_ASSET,EWAQ_NPL,03_SAVINGS,XX_BAL_IN_OTHER_BANKS,EWAQ_NPLsNetOfProvisions,XX_BOT_BALANCE,LR,INF,10_FOREIGN_DEPOSITS_AND_BORROWINGS,EWAQ_NPLsNetOfProvisions2CoreCapital,F125_LIAB_TOTAL,F077_ASSETS_TOTAL,19_BANKS_ABROAD,DR
36.41905055,173000000000.0,37.08124013,255000000000.0,736000000000.0,45540551633.0,588000000000.0,50848815910.0,38667846174.0,9771214753.0,38010464071.0,271000000000.0,16.52659972,6.34016451,816000000000.0,0.221838106,1350000000000.0,1540000000000.0,9771214753.0,8.588075356
91.17184316,9642792472.0,90.40098387,9619350060.0,17940619917.0,11559282887.0,55331685963.0,2570896798.0,8085093992.0,23880787320.0,2307514494.0,9121889698.0,15.36860904,16.86823842,27104208906.0,0.239175885,80114152403.0,91442887180.0,1472412320.0,6.321786122
132.122544,16856082250.0,132.7413626,12910125923.0,139000000000.0,80349385950.0,257000000000.0,7640145733.0,2861629424.0,7981399304.0,4178847774.0,14347227596.0,15.23986432,18.22908065,59172712616.0,0.247284022,242000000000.0,260000000000.0,7981399304.0,8.126439722
81.45931828,68943398680.0,80.01281884,138000000000.0,328000000000.0,40502998020.0,227000000000.0,11244842364.0,94628662602.0,22498216008.0,9031122730.0,73893464453.0,17.30299293,3.352618296,0.0,0.131770938,562000000000.0,649000000000.0,21402349395.0,7.840414449
51.0463889,16556021301.0,51.87197166,8440246708.0,54664637218.0,22759712038.0,52944297230.0,6678828638.0,5817438076.0,11529759101.0,6140149184.0,25045877078.0,16.8161039,3.662918067,50233241222.0,0.370935385,90173510172.0,110000000000.0,6407454601.0,7.408836129
31.53146736,12981343257.0,31.02308173,33337941870.0,71356128138.0,17567012170.0,30151163346.0,2894476246.0,27380533440.0,7535046724.0,2305979813.0,11428221865.0,15.19027655,17.54095227,9401181372.0,0.177629981,94038664042.0,109000000000.0,1173586120.0,8.455782486
20.14090831,172000000000.0,20.16665174,133000000000.0,716000000000.0,115000000000.0,194000000000.0,90585281726.0,119000000000.0,11564547941.0,77956656299.0,85180780963.0,17.36461855,5.996146527,303000000000.0,0.452942692,1050000000000.0,1260000000000.0,10575752659.0,10.20902707
43.43738921,19581726600.0,43.34342562,12649923782.0,120000000000.0,30228422540.0,58555524484.0,26838262582.0,15636827711.0,2850000000.0,21451088722.0,19145640922.0,15.15941715,10.28903759,21509808785.0,1.092847819,166000000000.0,190000000000.0,0.0,6.006080753
36.89878358,29234398372.0,36.4377789,19286724000.0,198000000000.0,79841557914.0,90233367972.0,5817137309.0,7908381655.0,15607883729.0,2907408607.0,32725995784.0,16.57572445,6.187634374,108000000000.0,0.099196534,282000000000.0,313000000000.0,14649907460.0,8.695737879
36.97350562,16665451860.0,127.4523063,12723012159.0,123000000000.0,75711176641.0,246000000000.0,3620975609.0,3551016675.0,3329717220.0,-230255905.6,23098702570.0,15.09939012,19.20171861,51130460245.0,-0.012275891,214000000000.0,232000000000.0,3329717220.0,7.594503776
